Date,Location,Zip Code,High Temperature,Low Temperature,Precipitation,Snowfall,Snow Depth
2/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,39,19,0,0,0
3/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,27,14,0,0,0
3/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,32,13,0,0,0
3/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,35,26,0,0,0
3/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,37,29,0.05,0.4,0
3/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,39,29,0,0,0
3/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,60,29,0,0,0
3/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,64,42,0,0,0
3/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,70,40,0,0,0
3/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,42,35,0,0,0
3/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,49,33,0,0,0
3/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,66,28,0,0,0
3/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,70,49,0,0,0
3/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,54,47,0,0,0
3/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,58,48,0.01,0,0
3/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,55,45,0.85,0,0
3/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,49,40,0.05,0,0
3/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,42,32,0.01,0,0
3/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,37,30,0,0,0
3/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,27,0.07,1.3,1
3/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,26,0,0,0
3/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,53,28,0,0,0
3/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,55,33,0,0,0
3/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,36,29,0.31,3.7,0
3/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,47,28,0,0,3
3/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,48,27,0,0,0
3/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,51,39,0.12,0,0
3/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,31,0.07,0,0
3/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,59,28,0,0,0
3/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,64,40,0.19,0,0
3/30/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,48,43,0.4,0,0
3/31/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,54,40,0.13,0,0
4/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,41,32,0.02,0,0
4/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,36,26,0,0,0
4/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,68,29,0,0,0
4/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,42,28,0,0,0
4/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,37,28,0.07,0,0
4/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,44,32,0,0,0
4/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,33,0.04,0,0
4/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,37,24,0.02,0.5,0
4/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,20,0,0,0
4/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,59,35,0,0,0
4/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,44,31,0,0,0
4/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,49,27,0,0,0
4/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,71,41,0,0,0
4/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,76,49,0,0,0
4/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,77,48,0,0,0
4/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,57,0,0,0
4/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,58,0,0,0
4/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,51,0.19,0,0
4/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,59,48,0.08,0,0
4/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,67,52,0.25,0,0
4/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,66,50,0.32,0,0
4/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,59,43,0,0,0
4/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,71,43,0,0,0
4/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,62,52,0.39,0,0
4/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,55,44,0.53,0,0
4/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,49,42,0,0,0
4/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,53,40,0.28,0,0
4/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,43,37,0.65,0,0
4/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,60,34,0,0,0
4/30/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,58,42,0,0,0
5/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,63,41,0,0,0
5/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,67,39,0,0,0
5/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,73,48,0,0,0
5/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,66,45,0,0,0
5/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,45,0,0,0
5/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,92,60,0,0,0
5/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,70,51,0,0,0
5/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,73,46,0,0,0
5/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,68,53,0.33,0,0
5/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,58,48,0.59,0,0
5/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,56,49,0.15,0,0
5/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,58,48,0,0,0
5/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,50,39,0.18,0,0
5/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,52,34,0,0,0
5/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,65,34,0,0,0
5/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,66,49,0,0,0
5/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,65,46,0,0,0
5/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,70,43,0,0,0
5/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,74,50,0,0,0
5/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,76,54,0,0,0
5/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,53,0,0,0
5/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,53,0,0,0
5/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,66,0,0,0
5/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,86,66,0,0,0
5/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,76,66,0.33,0,0
5/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,61,0.27,0,0
5/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,70,63,0.24,0,0
5/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,68,61,0.31,0,0
5/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,62,0,0,0
5/30/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,60,0,0,0
5/31/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,73,63,0.02,0,0
6/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,67,59,0,0,0
6/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,75,56,0,0,0
6/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,70,61,0.21,0,0
6/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,74,58,0.06,0,0
6/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,83,55,0,0,0
6/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,71,56,0.01,0,0
6/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,72,50,0,0,0
6/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,54,0.02,0,0
6/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,62,0.54,0,0
6/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,91,69,0,0,0
6/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,93,71,0,0,0
6/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,78,61,0.99,0,0
6/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,78,64,0.4,0,0
6/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,74,64,1.49,0,0
6/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,77,64,0,0,0
6/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,63,0,0,0
6/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,86,66,0,0,0
6/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,89,70,0,0,0
6/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,93,71,0.2,0,0
6/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,65,0,0,0
6/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,83,60,0,0,0
6/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,83,63,0.47,0,0
6/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,77,58,0,0,0
6/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,60,0,0,0
6/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,96,72,0,0,0
6/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,88,67,0,0,0
6/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,76,64,0,0,0
6/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,77,58,0,0,0
6/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,60,0,0,0
6/30/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,61,0.1,0,0
7/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,75,52,0,0,0
7/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,60,0,0,0
7/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,62,0,0,0
7/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,61,0,0,0
7/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,90,66,1.21,0,0
7/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,88,66,0,0,0
7/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,85,69,0.07,0,0
7/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,66,0,0,0
7/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,63,0,0,0
7/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,66,0.4,0,0
7/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,90,72,0,0,0
7/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,86,71,0.08,0,0
7/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,85,70,0,0,0
7/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,71,62,0.12,0,0
7/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,61,0.05,0,0
7/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,62,0.2,0,0
7/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,66,0.1,0,0
7/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,88,67,0,0,0
7/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,87,68,0,0,0
7/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,93,72,0.05,0,0
7/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,95,71,0.16,0,0
7/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,97,74,0,0,0
7/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,71,2.17,0,0
7/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,85,72,0,0,0
7/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,87,67,0,0,0
7/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,91,72,0,0,0
7/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,68,0.48,0,0
7/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,77,65,0,0,0
7/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,61,0,0,0
7/30/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,67,0,0,0
7/31/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,67,0,0,0
8/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,85,70,0,0,0
8/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,88,73,0,0,0
8/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,91,74,0,0,0
8/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,85,70,1.13,0,0
8/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,64,0,0,0
8/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,62,0,0,0
8/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,63,0,0,0
8/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,83,65,0,0,0
8/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,87,69,0,0,0
8/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,91,69,1.53,0,0
8/11/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,69,1.11,0,0
8/12/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,68,0.33,0,0
8/13/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,65,0,0,0
8/14/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,83,63,0,0,0
8/15/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,64,0,0,0
8/16/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,86,67,0.2,0,0
8/17/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,86,64,0,0,0
8/18/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,85,68,0,0,0
8/19/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,65,0.44,0,0
8/20/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,68,58,0.38,0,0
8/21/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,74,56,0,0,0
8/22/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,83,59,0,0,0
8/23/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,84,67,1.01,0,0
8/24/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,82,66,0.07,0,0
8/25/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,74,61,0,0,0
8/26/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,72,57,0,0,0
8/27/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,69,63,0.01,0,0
8/28/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,85,61,0,0,0
8/29/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,86,67,1.27,0,0
8/30/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,64,0.34,0,0
8/31/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,80,58,0,0,0
9/1/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,77,60,0,0,0
9/2/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,76,57,0,0,0
9/3/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,76,59,0,0,0
9/4/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,79,60,0.02,0,0
9/5/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,67,0.51,0,0
9/6/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,81,71,0.88,0,0
9/7/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,77,68,0.02,0,0
9/8/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,78,62,0,0,0
9/9/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,74,62,0.23,0,0
9/10/2016,MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT,55111,72,57,0,0,0
